action,building,critical_flag,dba,grade,inspection_type,score,street,violation_code,violation_description,lat,long,address
Violations were cited in the following area(s).,78,Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,SPRING STREET,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,78,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,SPRING STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,78,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,4,SPRING STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.722455,-73.9976992,78 SPRING STREET NYC
Violations were cited in the following area(s).,665,Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,BROADWAY,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.727212,-73.995488,665 BROADWAY NYC
Violations were cited in the following area(s).,665,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,10,BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.727212,-73.995488,665 BROADWAY NYC
Violations were cited in the following area(s).,6870,Critical,CAFE ANGELIQUE,A,Cycle Inspection / Initial Inspection,10,BLEECKER STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.732915,-74.003976,6870 BLEECKER STREET NYC
Violations were cited in the following area(s).,6870,Not Critical,CAFE ANGELIQUE,A,Cycle Inspection / Initial Inspection,10,BLEECKER STREET,09C,Food contact surface not properly maintained.,40.732915,-74.003976,6870 BLEECKER STREET NYC
Violations were cited in the following area(s).,504,Critical,FORTY CARROTS,A,Cycle Inspection / Initial Inspection,7,BROADWAY,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.8484382,-73.9376339,504 BROADWAY NYC
Violations were cited in the following area(s).,504,Not Critical,FORTY CARROTS,A,Cycle Inspection / Initial Inspection,7,BROADWAY,10I,"Single service item reused, improperly stored, dispensed; not used when required.",40.8484382,-73.9376339,504 BROADWAY NYC
Violations were cited in the following area(s).,245,Critical,NEW YORK UNIVERSITY - LAW SCHOOL CAFE,A,Cycle Inspection / Initial Inspection,10,SULLIVAN STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7301636,-73.9990387,245 SULLIVAN STREET NYC
Violations were cited in the following area(s).,245,Not Critical,NEW YORK UNIVERSITY - LAW SCHOOL CAFE,A,Cycle Inspection / Initial Inspection,10,SULLIVAN STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7301636,-73.9990387,245 SULLIVAN STREET NYC
Violations were cited in the following area(s).,248,Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,13,MERCER STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Critical,THINK COFFEE,A,Cycle Inspection / Re-inspection,9,MERCER STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,248,Not Critical,THINK COFFEE,A,Cycle Inspection / Re-inspection,9,MERCER STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7283348,-73.9952197,248 MERCER STREET NYC
Violations were cited in the following area(s).,6,Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,10,West 4th STREET,04A,Food Protection Certificate not held by supervisor of food operations.,40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,6,Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,12,West 4th STREET,04A,Food Protection Certificate not held by supervisor of food operations.,40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,6,Not Critical,LITTLE ATLAS CAFE,A,Cycle Inspection / Re-inspection,12,West 4th STREET,10I,"Single service item reused, improperly stored, dispensed; not used when required.",40.7291879166667,-73.9960272916667,6 West 4th STREET NYC
Violations were cited in the following area(s).,482,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,5,WEST BROADWAY,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7268478,-74.0001703,482 WEST BROADWAY NYC
Violations were cited in the following area(s).,482,Not Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,5,WEST BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7268478,-74.0001703,482 WEST BROADWAY NYC
Violations were cited in the following area(s).,228,Not Critical,GIMME COFFEE,A,Cycle Inspection / Initial Inspection,3,MOTT STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.72234745,-73.9949673965467,228 MOTT STREET NYC
Violations were cited in the following area(s).,1,Not Critical,THINK COFFEE,A,Cycle Inspection / Initial Inspection,2,BLEECKER STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.725448,-73.992374,1 BLEECKER STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,Z,Cycle Inspection / Re-inspection,47,SULLIVAN STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Critical,THIRD RAIL COFFEE,A,Cycle Inspection / Initial Inspection,7,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,240,Not Critical,THIRD RAIL COFFEE,A,Cycle Inspection / Initial Inspection,7,SULLIVAN STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7297546,-73.9997579,240 SULLIVAN STREET NYC
Violations were cited in the following area(s).,52,Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Initial Inspection,8,PRINCE STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Not Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Initial Inspection,8,PRINCE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Re-inspection,9,PRINCE STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,52,Not Critical,MCNALLY JACKSON CAFE,A,Cycle Inspection / Re-inspection,9,PRINCE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7233821,-73.9959853,52 PRINCE STREET NYC
Violations were cited in the following area(s).,270,Critical,LA COLOMBE,A,Cycle Inspection / Initial Inspection,7,LAFAYETTE STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7239788,-73.9964591,270 LAFAYETTE STREET NYC
Violations were cited in the following area(s).,270,Not Critical,LA COLOMBE,A,Cycle Inspection / Initial Inspection,7,LAFAYETTE STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7239788,-73.9964591,270 LAFAYETTE STREET NYC
Violations were cited in the following area(s).,142,Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.7270371,-74.0020466,142 SULLIVAN STREET NYC
Violations were cited in the following area(s).,142,Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7270371,-74.0020466,142 SULLIVAN STREET NYC
Violations were cited in the following area(s).,142,Not Critical,RABBITS,A,Cycle Inspection / Initial Inspection,12,SULLIVAN STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7270371,-74.0020466,142 SULLIVAN STREET NYC
Violations were cited in the following area(s).,45,Critical,STARBUCKS,A,Cycle Inspection / Initial Inspection,5,West 4th STREET,06F,Wiping cloths soiled or not stored in sanitizing solution.,40.7293531875,-73.99596609375,45 West 4th STREET NYC
Violations were cited in the following area(s).,325,Not Critical,GASOLINE ALLEY COFFEE,A,Cycle Inspection / Initial Inspection,3,LAFAYETTE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7254441,-73.9948516,325 LAFAYETTE STREET NYC
Violations were cited in the following area(s).,71,Critical,ONASSIS CAFE,A,Cycle Inspection / Initial Inspection,12,GREENE STREET,04A,Food Protection Certificate not held by supervisor of food operations.,40.7234444,-74.0009543424635,71 GREENE STREET NYC
Violations were cited in the following area(s).,71,Not Critical,ONASSIS CAFE,A,Cycle Inspection / Initial Inspection,12,GREENE STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7234444,-74.0009543424635,71 GREENE STREET NYC
Violations were cited in the following area(s).,96,Critical,FAIR FOLKS,A,Cycle Inspection / Initial Inspection,9,WEST HOUSTON STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,96,Not Critical,FAIR FOLKS,A,Cycle Inspection / Initial Inspection,9,WEST HOUSTON STREET,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,96,Not Critical,FAIR FOLKS,A,Cycle Inspection / Initial Inspection,9,WEST HOUSTON STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,96,Critical,FAIR FOLKS,A,Cycle Inspection / Re-inspection,12,WEST HOUSTON STREET,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,96,Not Critical,FAIR FOLKS,A,Cycle Inspection / Re-inspection,12,WEST HOUSTON STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,96,Not Critical,FAIR FOLKS,A,Cycle Inspection / Re-inspection,12,WEST HOUSTON STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.72737685,-74.0001074122973,96 WEST HOUSTON STREET NYC
Violations were cited in the following area(s).,60,Critical,NYU PEET'S COFFEE,A,Cycle Inspection / Initial Inspection,13,WASHINGTON SQ S,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.7301316190476,-73.9979521904762,60 WASHINGTON SQ S NYC
Violations were cited in the following area(s).,60,Critical,NYU PEET'S COFFEE,A,Cycle Inspection / Initial Inspection,13,WASHINGTON SQ S,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.7301316190476,-73.9979521904762,60 WASHINGTON SQ S NYC
Violations were cited in the following area(s).,264,Critical,TOMS,A,Cycle Inspection / Initial Inspection,11,ELIZABETH ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7239853,-73.9935068,264 ELIZABETH ST NYC
Violations were cited in the following area(s).,264,Not Critical,TOMS,A,Cycle Inspection / Initial Inspection,11,ELIZABETH ST,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7239853,-73.9935068,264 ELIZABETH ST NYC
Violations were cited in the following area(s).,264,Not Critical,TOMS,A,Cycle Inspection / Initial Inspection,11,ELIZABETH ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7239853,-73.9935068,264 ELIZABETH ST NYC
Violations were cited in the following area(s).,169,Critical,SUMMERS,Z,Cycle Inspection / Re-inspection,25,THOMPSON ST,04A,Food Protection Certificate not held by supervisor of food operations.,40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,169,Critical,SUMMERS,Z,Cycle Inspection / Re-inspection,25,THOMPSON ST,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,169,Critical,SUMMERS,Z,Cycle Inspection / Re-inspection,25,THOMPSON ST,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,169,Not Critical,SUMMERS,Z,Cycle Inspection / Re-inspection,25,THOMPSON ST,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,169,Critical,SUMMERS,A,Cycle Inspection / Re-inspection,9,THOMPSON ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,169,Not Critical,SUMMERS,A,Cycle Inspection / Re-inspection,9,THOMPSON ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.72768285,-74.0004626438511,169 THOMPSON ST NYC
Violations were cited in the following area(s).,8,Critical,YOURS TRULY,A,Cycle Inspection / Re-inspection,12,SPRING ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.72098925,-73.9945001431263,8 SPRING ST NYC
Violations were cited in the following area(s).,8,Critical,YOURS TRULY,A,Cycle Inspection / Re-inspection,12,SPRING ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.72098925,-73.9945001431263,8 SPRING ST NYC
Violations were cited in the following area(s).,159,Critical,RAPHA CYCLE CLUB,A,Cycle Inspection / Initial Inspection,9,PRINCE ST,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.7260982,-74.0011568,159 PRINCE ST NYC
Violations were cited in the following area(s).,159,Not Critical,RAPHA CYCLE CLUB,A,Cycle Inspection / Initial Inspection,9,PRINCE ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7260982,-74.0011568,159 PRINCE ST NYC
Violations were cited in the following area(s).,71,Not Critical,ABOUT COFFEE,A,Cycle Inspection / Initial Inspection,4,SULLIVAN ST,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7244728,-74.0039044,71 SULLIVAN ST NYC
Violations were cited in the following area(s).,71,Not Critical,ABOUT COFFEE,A,Cycle Inspection / Initial Inspection,4,SULLIVAN ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7244728,-74.0039044,71 SULLIVAN ST NYC
Violations were cited in the following area(s).,154,Critical,LA COLOMBE,A,Cycle Inspection / Initial Inspection,5,PRINCE ST,06F,Wiping cloths soiled or not stored in sanitizing solution.,40.7257991,-74.001138,154 PRINCE ST NYC
Violations were cited in the following area(s).,177,Critical,CAFE GRUMPY,A,Cycle Inspection / Initial Inspection,10,MOTT ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7203626248786,-73.9960716903878,177 MOTT ST NYC
Violations were cited in the following area(s).,177,Not Critical,CAFE GRUMPY,A,Cycle Inspection / Initial Inspection,10,MOTT ST,10H,Proper sanitization not provided for utensil ware washing operation.,40.7203626248786,-73.9960716903878,177 MOTT ST NYC
Violations were cited in the following area(s).,649,Critical,GREGORYS COFFEE,A,Pre-permit (Operational) / Initial Inspection,12,BROADWAY,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,40.7268775,-73.9957461,649 BROADWAY NYC
Violations were cited in the following area(s).,649,Not Critical,GREGORYS COFFEE,A,Pre-permit (Operational) / Initial Inspection,12,BROADWAY,10J,''''Wash hands sign not posted at hand wash facility.,40.7268775,-73.9957461,649 BROADWAY NYC
Violations were cited in the following area(s).,557,Critical,SCHOLASTIC PUBLICATIONS CAFE,A,Cycle Inspection / Initial Inspection,7,BROADWAY,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,40.8484382,-73.9376339,557 BROADWAY NYC
Violations were cited in the following area(s).,246,Critical,MILK BAR NOLITA,A,Cycle Inspection / Initial Inspection,5,MOTT ST,06F,Wiping cloths soiled or not stored in sanitizing solution.,40.72326395,-73.9945681100206,246 MOTT ST NYC
Violations were cited in the following area(s).,167,Not Critical,+ 81 GALLERY NEW YORK,A,Pre-permit (Operational) / Re-inspection,4,ELIZABETH ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.72097335,-73.99501765,167 ELIZABETH ST NYC
Violations were cited in the following area(s).,167,Not Critical,+ 81 GALLERY NEW YORK,A,Pre-permit (Operational) / Re-inspection,4,ELIZABETH ST,10H,Proper sanitization not provided for utensil ware washing operation.,40.72097335,-73.99501765,167 ELIZABETH ST NYC
Violations were cited in the following area(s).,71,Critical,BIRCH COFFEE,A,Pre-permit (Operational) / Initial Inspection,9,W HOUSTON ST,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.7265369,-73.9995625,71 W HOUSTON ST NYC
Violations were cited in the following area(s).,71,Not Critical,BIRCH COFFEE,A,Pre-permit (Operational) / Initial Inspection,9,W HOUSTON ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7265369,-73.9995625,71 W HOUSTON ST NYC
Violations were cited in the following area(s).,280,Critical,CAFE BELLE,A,Cycle Inspection / Re-inspection,13,MULBERRY ST,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.7243517,-73.9950088409368,280 MULBERRY ST NYC
Violations were cited in the following area(s).,280,Critical,CAFE BELLE,A,Cycle Inspection / Re-inspection,13,MULBERRY ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7243517,-73.9950088409368,280 MULBERRY ST NYC
Violations were cited in the following area(s).,280,Not Critical,CAFE BELLE,A,Cycle Inspection / Re-inspection,13,MULBERRY ST,10I,"Single service item reused, improperly stored, dispensed; not used when required.",40.7243517,-73.9950088409368,280 MULBERRY ST NYC
Violations were cited in the following area(s).,67,Critical,JOE & THE JUICE,A,Pre-permit (Operational) / Initial Inspection,10,SPRING ST,06F,Wiping cloths soiled or not stored in sanitizing solution.,40.7226503,-73.9973473869673,67 SPRING ST NYC
Violations were cited in the following area(s).,67,Not Critical,JOE & THE JUICE,A,Pre-permit (Operational) / Initial Inspection,10,SPRING ST,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7226503,-73.9973473869673,67 SPRING ST NYC
Violations were cited in the following area(s).,67,Not Critical,JOE & THE JUICE,A,Pre-permit (Operational) / Initial Inspection,10,SPRING ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7226503,-73.9973473869673,67 SPRING ST NYC
Violations were cited in the following area(s).,2,Not Critical,DARKSTAR COFFEE + ESPRESSO,A,Cycle Inspection / Initial Inspection,2,GREAT JONES ST,10J,''''Wash hands sign not posted at hand wash facility.,40.7277671,-73.9943637,2 GREAT JONES ST NYC
Violations were cited in the following area(s).,161,Critical,JOE & THE JUICE,A,Pre-permit (Operational) / Re-inspection,7,PRINCE ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7261667,-74.0011916748358,161 PRINCE ST NYC
Violations were cited in the following area(s).,161,Not Critical,JOE & THE JUICE,A,Pre-permit (Operational) / Re-inspection,7,PRINCE ST,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7261667,-74.0011916748358,161 PRINCE ST NYC
Violations were cited in the following area(s).,85,Critical,BAR PATEA,A,Pre-permit (Operational) / Initial Inspection,5,KENMARE ST,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7213617,-73.9967549,85 KENMARE ST NYC
Violations were cited in the following area(s).,250,Critical,Cape Cafe,A,Cycle Inspection / Initial Inspection,9,BOWERY,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",40.7230882,-73.9933858,250 BOWERY NYC
Violations were cited in the following area(s).,250,Not Critical,Cape Cafe,A,Cycle Inspection / Initial Inspection,9,BOWERY,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7230882,-73.9933858,250 BOWERY NYC
Violations were cited in the following area(s).,250,Not Critical,Cape Cafe,A,Cycle Inspection / Initial Inspection,9,BOWERY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.7230882,-73.9933858,250 BOWERY NYC
Violations were cited in the following area(s).,250,Critical,Cape Cafe,A,Pre-permit (Operational) / Re-inspection,7,BOWERY,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.7230882,-73.9933858,250 BOWERY NYC
Violations were cited in the following area(s).,250,Not Critical,Cape Cafe,A,Pre-permit (Operational) / Re-inspection,7,BOWERY,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7230882,-73.9933858,250 BOWERY NYC
Violations were cited in the following area(s).,80,Critical,CAFE CAFE,A,Pre-permit (Operational) / Re-inspection,5,WOOSTER ST,06F,Wiping cloths soiled or not stored in sanitizing solution.,40.72365585,-74.001256,80 WOOSTER ST NYC
